recency_days,order_count,avg_order_value,days_since_signup,churned
130,2,58.53,229,1
131,10,70.22,341,1
113,4,113.28,737,0
101,7,105.88,64,0
113,5,78.44,408,0
81,7,42.75,416,0
113,8,105.05,787,1
2,5,132.49,266,0
130,4,129.32,645,1
54,6,85.04,548,0
87,10,59.93,312,0
129,4,48.65,30,1
147,4,57.66,760,1
126,3,119.95,493,1
130,5,81.92,259,0
53,2,95.35,201,0
172,8,34.17,116,1
160,6,150.47,582,1
160,6,172.36,152,1
68,4,64.44,872,0
123,6,191.27,327,0
145,3,75.63,719,1
38,4,54.86,604,0
24,4,61.77,513,0
69,5,72.25,194,0
116,2,68.24,728,1
98,3,78.7,412,1
139,7,64.64,238,1
144,8,141.47,768,1
97,5,69.89,461,0
124,1,36.52,418,1
70,7,51.77,589,0
93,7,81.56,253,0
3,3,87.48,32,0
148,7,144.95,401,1
164,2,85.35,716,1
147,4,104.39,475,1
90,5,74.98,640,1
147,6,107.09,145,1
148,3,34.11,299,1
96,8,108.81,476,0
52,4,80.19,397,0
161,7,148.51,282,1
168,2,154.02,346,1
128,5,115.03,444,1
39,7,75.26,124,0
82,5,77.6,814,0
104,3,52.67,53,1
129,7,83.4,657,1
11,4,40.64,692,0
178,4,82.58,879,1
151,3,145.03,79,1
159,8,71.6,531,1
42,5,108.9,747,0
99,3,126.68,527,1
7,5,139.75,364,0
144,3,71.36,108,1
90,4,53.21,611,1
112,2,49.12,56,1
60,4,55.15,300,0
113,3,74.31,591,1
2,7,39.96,833,0
129,4,62.39,276,1
48,5,151.35,805,0
140,4,145.61,620,1
37,5,26.08,416,0
160,4,264.06,731,1
9,6,169.07,588,0
99,9,39.63,390,0
147,3,94.59,895,1
48,8,71.02,517,0
131,5,67.12,381,1
148,1,38.52,730,1
152,3,139.14,285,1
54,5,138.14,251,0
120,4,110.52,782,1
161,6,219.21,810,1
152,5,84.4,30,1
116,5,63.23,575,1
75,4,53.05,475,0
113,9,57.19,108,0
164,6,167.21,265,1
166,7,111.43,363,1
104,3,74.32,378,1
84,2,64.94,127,1
112,3,132.15,111,0
99,2,43.49,531,1
153,7,48.65,506,1
93,2,139.46,733,1
146,5,108.95,794,1
128,5,53.16,579,1
110,7,97.05,43,0
82,5,57.21,421,1
54,6,95.07,376,0
163,7,89.06,339,1
169,3,71.13,415,1
161,6,71.23,238,1
68,8,50.52,386,0
33,3,75.2,630,0
142,6,183.69,597,1
21,5,92.1,123,0
48,3,233.76,122,0
148,4,32.71,369,1
128,6,68.5,626,1
136,6,120.92,474,1
135,7,264.07,786,1
145,6,39.51,51,1
128,5,89.96,320,1
33,2,115.51,514,0
176,5,169.7,813,1
115,9,68.94,335,1
119,3,79.28,663,1
22,9,51.44,157,0
158,2,76.17,654,1
38,1,84.17,302,0
109,4,112.46,877,1
51,3,133.16,471,0
8,4,43.61,532,0
27,5,63.67,159,0
27,1,109.05,161,0
21,3,34.57,626,1
30,5,198.99,511,0
97,3,161.61,891,1
28,12,116.52,419,0
111,2,128.79,622,1
61,3,155.5,354,0
48,4,159.64,98,0
147,9,118.29,689,0
4,5,46.37,477,0
35,3,107.94,557,0
49,3,163.09,848,1
17,4,99.9,646,0
172,4,140.65,194,1
158,7,129.54,517,1
46,6,140.17,742,0
117,3,69.86,738,1
6,6,138.17,455,0
99,6,58.13,726,1
124,4,58.38,863,1
37,7,74.85,294,0
24,4,125.4,641,0
93,7,106.26,371,1
46,3,101.7,861,0
95,4,80.6,755,1
99,7,25.15,307,0
116,8,91.12,703,1
160,2,51.32,468,1
161,9,49.62,186,1
67,6,122.56,451,0
128,4,27.38,280,1
18,7,171.37,638,0
25,2,102.95,559,0
54,2,72.32,356,0
58,3,17.96,126,0
67,5,58.61,542,0
104,7,83.14,245,0
174,4,26.16,161,1
24,4,74.04,289,0
114,5,158.28,154,1
32,5,90.0,111,0
175,4,172.54,312,1
86,5,59.71,712,0
151,6,34.98,88,1
127,5,116.12,573,1
155,7,128.2,190,1
130,8,154.83,313,0
17,4,179.68,135,0
104,5,89.83,134,1
161,6,164.69,468,1
137,9,289.57,257,1
43,6,143.23,729,0
176,0,60.11,611,1
39,4,90.52,347,0
170,2,114.46,493,1
26,6,111.1,831,0
99,9,83.33,628,0
50,0,189.47,501,1
153,3,34.21,85,1
152,0,93.53,654,1
13,8,112.79,42,0
60,2,62.1,469,0
135,4,159.34,47,1
57,4,107.87,723,0
36,5,100.33,142,0
173,4,125.07,258,1
20,3,100.89,200,0
65,2,136.67,324,1
8,8,23.28,218,0
144,4,29.07,455,1
142,5,144.66,108,1
115,5,91.61,687,1
143,7,61.26,211,1
92,5,107.22,528,0
98,8,90.22,827,0
66,5,58.07,791,1
32,4,244.15,895,0
86,6,190.15,855,0
51,5,66.47,737,0
153,1,67.01,864,1
63,7,59.66,100,0
125,4,73.74,277,1
150,4,131.26,175,1
58,4,96.96,647,0
58,6,73.08,804,0
86,6,85.98,325,1
49,4,73.51,611,0
170,5,56.51,499,1
70,4,50.74,535,1
15,4,48.73,222,0
54,8,106.15,97,0
101,4,152.49,523,0
8,7,99.92,846,0
53,7,25.57,81,0
60,9,104.71,392,0
108,6,64.94,826,1
5,5,51.36,503,0
103,10,39.87,875,0
6,8,51.29,550,0
109,5,52.2,792,1
116,6,33.96,460,1
94,1,52.23,873,1
47,10,119.37,327,0
99,10,167.71,464,0
55,3,26.81,725,1
168,6,139.96,720,1
52,8,83.43,227,0
144,1,40.88,157,1
13,7,72.76,561,0
114,6,116.12,440,0
124,5,92.92,869,1
106,5,31.17,94,1
158,8,88.96,723,1
147,2,131.46,270,1
145,5,121.31,398,1
120,5,74.33,565,1
63,3,90.95,413,1
19,5,76.55,460,0
92,4,117.69,112,1
58,3,121.37,860,0
90,8,21.96,726,1
117,4,131.95,857,1
62,4,113.89,640,1
23,2,64.49,603,0
127,5,150.36,315,1
137,6,76.61,563,1
140,4,57.44,488,1
129,4,65.01,241,1
58,1,94.0,155,1
122,3,72.6,442,1
1,5,64.03,528,0
34,4,58.52,454,0
96,5,123.98,583,1
126,7,119.13,639,1
118,8,26.18,572,0
48,4,67.22,187,0
89,6,130.22,141,1
117,2,87.93,431,1
129,7,134.61,788,1
16,3,156.16,151,0
69,9,155.44,302,0
22,3,143.25,323,0
93,5,79.66,427,0
76,3,69.7,500,1
154,7,84.27,236,1
144,3,73.06,139,1
179,6,145.25,469,1
86,6,119.4,307,0
29,3,94.42,597,0
69,2,43.57,598,1
47,4,118.16,511,0
94,8,156.11,832,0
144,5,63.36,143,1
176,10,147.71,849,1
85,4,113.54,882,1
39,1,252.4,506,1
100,4,83.37,739,0
33,7,65.66,350,0
101,7,137.15,208,1
23,6,59.88,248,0
10,7,93.52,818,0
69,7,107.12,557,0
100,2,134.57,521,1
34,2,157.7,90,0
138,9,222.03,83,1
147,1,31.29,709,1
96,5,214.61,567,0
1,7,40.81,877,0
69,3,51.54,94,1
4,8,126.56,641,0
16,6,98.15,615,0
24,7,48.24,733,0
80,5,121.91,200,1
2,3,83.16,302,0
128,9,32.72,728,0
160,5,160.85,564,1
84,8,57.75,420,0
152,12,48.51,722,1
140,5,93.55,356,1
178,6,54.02,137,1
163,2,121.62,876,1
124,2,82.34,191,1
33,8,107.85,843,0
161,3,63.13,481,1
179,5,97.18,235,1
171,3,55.34,619,1
101,5,76.82,45,1
12,3,89.59,356,0
67,4,29.93,637,0
65,5,149.65,688,0
161,6,37.58,31,1
168,6,50.65,39,1
74,8,56.29,463,0
43,7,118.73,154,0
44,6,67.09,110,0
29,8,191.73,514,0
141,9,197.94,681,1
