CustomerID,recency_days,avg_order_value,days_since_signup,avg_quantity_per_order,high_frequency
12557,16,2398.19,372,876.8,1
12558,8,269.96,8,196.0,0
12559,311,280.86,320,141.5,0
12560,5,711.34,143,370.0,0
12561,303,238.85,303,177.0,0
12562,8,540.25,199,254.14,1
12564,261,456.9,261,133.0,0
12565,289,145.92,289,80.0,0
12566,86,351.65,86,265.0,0
12567,23,940.13,370,430.5,1
12569,2,128.9,252,56.28,1
12571,40,259.8,122,261.5,0
12572,9,510.21,52,226.0,0
12573,227,160.54,227,84.0,0
12574,316,218.45,316,61.0,0
12576,36,263.17,305,193.4,1
12577,35,219.27,359,157.33,0
12578,21,1397.26,330,598.0,0
12579,78,440.42,78,285.0,0
12580,247,415.7,247,238.0,0
12581,40,197.71,40,161.0,0
12582,239,255.68,289,150.0,0
12583,3,485.43,374,337.33,1
12584,4,259.79,280,46.22,1
12585,234,1020.05,351,639.5,0
12586,17,196.94,17,79.0,0
12587,8,144.0,8,51.0,0
12588,39,214.9,39,53.0,0
12589,29,323.34,145,153.0,0
12590,211,4932.13,211,2141.5,0
12591,317,452.85,317,228.0,0
12592,92,218.8,213,145.0,0
12593,109,139.37,219,68.67,0
12594,38,333.82,323,177.7,1
12596,51,309.14,242,237.0,0
12597,19,952.8,268,559.0,0
12598,10,377.88,285,245.5,1
12599,29,147.51,304,136.57,1
12600,29,259.9,371,77.4,1
12601,190,115.41,333,49.0,1
12602,59,153.12,59,162.0,0
12603,22,739.2,22,63.0,0
12604,79,127.09,262,100.5,0
12607,60,1579.51,60,1228.0,0
12609,78,375.62,318,216.0,0
12610,23,419.91,126,209.8,1
12611,52,1193.32,52,846.0,0
12612,74,704.04,74,262.0,0
12613,57,668.88,262,328.8,1
12614,278,315.6,278,76.0,0
12615,2,572.8,168,344.0,0
12616,95,356.65,297,142.0,0
12617,29,355.53,29,213.0,0
12618,22,177.31,22,96.0,0
12619,16,404.58,253,375.33,1
12620,15,446.47,205,393.67,0
12621,2,684.48,366,372.0,1
12622,232,180.1,232,69.0,0
12623,276,305.1,276,191.0,0
12624,106,320.56,178,177.5,0
12625,212,1341.91,319,806.0,0
12626,23,735.61,327,383.67,1
12627,11,639.79,140,393.14,1
12628,4,262.15,65,149.33,0
12630,10,635.44,44,274.0,0
12631,57,640.5,57,236.0,0
12633,59,541.0,288,290.5,0
12635,90,844.59,155,586.0,0
12637,67,752.74,324,375.25,1
12638,33,671.69,33,577.0,0
12639,239,486.1,239,201.0,0
12640,24,391.53,82,103.67,0
12641,115,185.9,115,72.0,0
12642,25,337.75,108,184.0,0
12643,128,557.44,333,301.33,1
12644,130,477.91,130,325.0,0
12645,34,443.8,316,271.0,0
12646,5,673.48,49,448.5,0
12647,22,310.24,369,119.25,1
12648,155,318.05,155,160.0,0
12649,107,207.84,212,195.33,0
12650,3,314.44,3,254.0,0
12651,335,114.0,335,78.0,0
12652,331,919.98,331,505.0,0
12653,149,1104.92,297,459.5,0
12654,11,120.4,295,52.8,1
12656,17,810.23,234,344.6,1
12657,11,410.8,79,261.0,0
12658,19,686.05,19,320.0,0
12659,30,91.68,30,105.0,0
12660,11,245.1,11,127.0,0
12662,1,349.98,373,187.09,1
12664,8,542.43,323,133.67,1
12665,325,63.0,325,37.0,0
12667,58,620.13,58,395.0,0
12668,12,951.79,356,408.5,0
12669,151,914.68,257,371.67,0
12670,10,599.21,233,279.4,1
12672,330,225.9,330,78.0,0
12673,5,305.26,327,175.5,0
12674,39,492.65,208,283.25,0
12676,25,221.9,311,111.67,1
12678,42,1469.04,354,910.25,1
12679,59,278.26,284,138.5,0
12680,1,215.7,113,110.75,0
12681,15,626.71,368,342.55,1
12682,4,396.39,371,179.84,1
12683,4,565.1,366,332.47,1
12684,8,326.23,213,283.57,1
12685,28,477.18,94,253.83,1
12686,372,89.14,372,107.0,0
12688,114,4873.81,114,3028.0,0
12689,26,623.81,128,314.0,0
12690,206,389.01,206,106.0,0
12691,28,172.63,357,65.67,1
12693,127,213.98,319,63.75,0
12694,70,434.84,183,254.5,0
12695,7,145.52,210,55.0,0
12697,29,319.2,169,169.33,0
12700,8,1235.0,215,741.75,0
12701,80,398.86,242,339.0,0
12702,20,219.0,20,53.0,0
12703,71,283.55,71,164.0,0
12704,7,292.6,170,125.75,1
12705,15,763.14,357,444.11,1
12707,292,603.42,292,256.0,0
12708,30,271.29,369,130.7,1
12709,15,649.1,367,262.4,1
12710,97,383.01,201,283.67,0
12712,29,338.16,371,81.69,1
12713,1,848.55,1,508.0,0
12714,9,941.77,295,613.8,1
12715,106,353.86,106,197.0,0
12716,4,526.74,133,354.0,0
12717,151,515.49,246,253.0,0
12718,71,238.25,71,203.0,0
12719,5,322.48,65,187.0,0
12720,3,231.27,369,186.88,1
12721,32,442.69,355,326.5,1
12722,85,249.41,151,141.5,0
12723,4,145.01,65,86.8,1
12724,5,257.85,332,111.25,0
12725,371,427.8,371,164.0,0
12726,28,372.73,357,449.0,1
12727,11,568.67,320,299.71,1
12728,71,209.08,332,104.75,0
12729,114,453.01,114,233.0,0
12731,24,1574.66,365,703.08,1
12732,180,236.26,180,111.0,0
12733,234,383.95,234,137.0,0
12734,353,110.4,353,88.0,0
12735,315,389.78,337,184.0,0
12736,333,234.0,333,173.0,0
12738,372,155.35,372,148.0,0
12739,78,506.52,99,243.0,0
12740,64,427.6,64,342.0,0
12743,134,273.21,134,159.5,0
12744,52,3039.9,318,748.71,1
12747,2,381.46,369,115.91,1
12748,1,161.34,374,123.19,1
12749,4,818.18,213,294.2,1
12750,129,275.88,129,137.0,0
12752,81,4366.78,81,2262.0,0
12753,23,3571.56,363,1903.5,1
12754,236,1003.58,309,2160.33,0
12755,281,1905.98,366,745.5,0
12756,87,112.08,87,144.0,0
12757,16,604.39,211,184.77,1
12758,117,1395.8,277,1067.5,0
12759,52,510.48,276,300.67,0
12762,8,949.26,25,613.5,0
12763,138,247.04,369,158.0,0
12764,317,1693.88,317,386.0,0
12766,4,998.52,366,520.86,1
12769,239,1143.6,239,356.0,0
12770,211,1351.45,211,743.0,0
12772,60,892.47,60,556.0,0
12775,17,277.21,311,175.4,1
12778,20,137.04,312,137.5,1
12779,38,497.67,371,253.0,1
12781,64,413.37,285,335.5,0
12782,5,466.18,358,217.2,1
12783,2,370.98,75,104.0,1
12784,9,287.21,15,150.0,0
12785,364,311.95,364,131.0,0
12787,10,154.55,193,87.0,0
12789,65,91.85,65,4.0,0
12790,192,324.92,192,166.0,0
12791,374,192.6,374,97.0,0
12792,257,400.54,257,217.0,0
12793,335,272.74,371,147.5,0
12794,53,430.2,99,296.0,0
12795,19,430.48,19,68.0,0
12797,366,254.03,366,118.0,0
12798,10,2325.68,171,1752.0,0
12802,187,427.58,187,314.0,0
12808,37,161.22,369,62.67,0
12809,178,489.31,178,220.0,0
12811,261,171.62,284,76.67,0
12812,45,229.64,45,164.0,0
12814,102,125.92,102,49.0,0
12815,148,531.73,198,189.5,0
12816,96,286.1,176,64.0,0
12817,281,166.04,281,53.0,0
12818,262,1542.08,262,929.0,0
12820,3,235.58,327,180.5,0
12821,214,92.72,214,70.0,0
12822,71,474.44,87,275.0,0
12823,75,351.9,297,46.0,1
12824,60,397.12,60,232.0,0
12826,3,210.67,365,151.14,1
12827,6,143.38,44,65.67,0
12828,3,169.78,130,82.33,1
12829,337,146.5,360,188.0,0
12830,38,1135.77,172,1641.33,1
12831,262,215.05,262,135.0,0
12832,32,191.52,98,97.5,0
12833,145,417.38,145,156.0,0
12834,283,312.38,283,110.0,0
12836,59,653.22,312,266.0,0
12837,173,134.1,173,24.0,0
12838,34,341.56,374,179.5,0
12839,3,399.39,367,271.93,1
12840,144,681.69,227,377.75,0
12841,5,160.89,372,110.28,1
12842,70,559.5,309,273.5,0
12843,66,212.78,264,97.62,1
12844,29,162.98,130,62.5,0
12845,267,88.52,290,51.0,0
12847,22,871.54,22,909.0,0
12849,31,525.45,269,311.5,0
12851,97,135.18,97,109.0,0
12852,295,311.55,295,149.0,0
12853,135,326.18,316,133.33,1
12854,79,441.5,318,209.0,0
12855,373,38.1,373,30.0,0
12856,8,363.32,64,179.83,1
12857,211,553.2,303,171.5,0
12863,52,521.2,52,188.0,0
12864,138,147.12,138,216.0,0
12865,26,784.12,124,462.5,0
12866,283,559.12,283,171.0,0
12867,26,576.69,360,614.0,1
12868,186,267.84,374,154.67,1
12871,84,190.32,207,100.0,0
12872,327,299.98,365,159.5,0
12873,282,374.0,282,128.0,0
12875,143,171.62,363,1009.5,0
12876,58,1109.01,196,970.5,0
12877,4,127.98,359,98.17,1
12878,236,427.5,266,273.5,0
12879,45,191.07,92,123.33,0
12881,276,298.0,276,21.0,0
12882,9,731.52,34,123.0,0
12883,25,175.87,89,49.0,0
12884,88,309.05,88,43.0,0
12885,63,391.74,124,218.33,0
12886,68,689.2,220,385.0,0
12888,214,177.06,255,38.0,0
12890,24,380.47,24,259.0,0
12891,186,110.33,293,316.67,0
12893,31,188.14,31,96.0,0
12895,42,186.4,87,105.0,0
12897,205,108.25,302,55.0,0
12901,9,630.52,271,824.11,1
12902,265,138.68,265,66.0,0
12904,18,254.79,172,151.0,0
12906,12,583.96,78,349.8,1
12908,176,375.0,313,600.0,0
12909,40,435.73,253,256.0,1
12910,23,384.38,242,211.5,1
12912,3,332.46,41,134.0,1
12913,5,496.73,368,283.8,1
12915,149,181.82,373,46.5,0
12916,139,751.54,321,279.75,0
12917,128,594.0,128,120.0,0
12919,8,222.53,170,112.17,1
12920,17,164.23,17,129.0,0
12921,9,448.3,373,257.46,1
12922,161,405.38,161,370.0,0
12923,64,176.97,64,69.0,0
12924,88,233.42,328,120.25,0
12925,5,347.02,75,270.5,0
12928,35,412.54,359,294.4,1
12929,312,117.85,312,37.0,0
12930,78,207.9,171,126.0,0
12931,22,2803.73,358,1866.93,1
12933,24,202.51,284,166.33,0
12935,2,308.67,319,264.71,1
12936,17,265.98,78,139.75,0
12937,15,376.07,267,251.75,0
12938,26,114.14,26,140.0,0
12939,64,1447.72,335,609.5,1
12940,55,456.77,88,205.5,0
12942,131,227.97,366,67.67,0
12944,36,302.26,355,144.5,0
12945,288,462.95,288,165.0,0
12947,144,267.33,373,194.17,1
12948,16,294.99,265,154.29,1
12949,31,520.9,252,297.62,1
12950,2,614.33,24,460.0,0
12951,9,177.34,331,83.83,1
12952,6,346.95,78,163.25,0
12953,10,329.85,10,84.0,0
12955,1,432.47,268,333.09,1
12956,306,108.07,306,34.0,0
12957,10,502.19,340,318.62,1
12962,7,133.2,113,64.5,0
12963,8,232.08,366,110.12,1
12965,89,771.91,89,283.0,0
12966,10,160.18,10,75.0,0
12967,358,830.45,372,219.0,0
12968,112,135.95,112,73.0,0
12970,7,113.06,322,77.5,0
12971,4,130.12,372,108.01,1
12974,198,144.8,198,24.0,0
12976,212,738.6,212,561.0,0
12977,156,39.24,156,12.0,0
12980,158,819.43,359,98.44,1
12981,30,186.11,133,121.0,0
12982,243,390.54,243,288.0,0
12984,19,97.5,19,26.0,0
12985,1,619.69,29,766.5,0
12987,74,279.35,198,109.5,0
12988,292,535.32,292,136.0,0
12989,3,461.61,364,196.2,1
12990,31,136.5,310,66.67,0
12991,23,251.88,112,202.5,0
12993,23,103.69,298,60.0,0
12994,4,324.81,269,153.0,0
12995,85,211.32,85,108.0,0
12997,22,306.72,317,166.0,0
12999,196,151.96,246,114.0,0
13000,107,178.28,365,126.33,0
13001,4,755.29,327,423.46,1
13002,318,120.95,318,73.0,0
13003,106,49.68,215,34.33,0
13004,12,314.22,358,267.89,1
13005,174,256.85,246,86.0,0
13006,56,81.57,56,55.0,0
13008,323,229.47,323,175.0,0
13011,372,50.55,372,13.0,0
13012,9,207.73,295,103.0,1
13013,1,370.07,372,171.08,1
13014,11,346.63,281,90.5,1
13015,53,669.26,249,323.4,1
13016,73,263.3,123,175.67,0
13017,7,204.0,7,48.0,0
13018,16,259.92,296,194.11,1
13021,4,290.71,359,150.22,1
13023,64,344.95,130,143.0,0
13026,1,195.07,276,324.0,1
13027,114,1152.0,355,2880.0,1
13028,23,330.66,45,399.0,0
13029,31,415.83,353,44.67,0
13030,11,399.74,368,197.0,0
13032,52,505.09,87,187.5,0
13033,357,190.55,357,83.0,0
13034,55,321.38,369,184.5,0
13035,74,460.94,261,322.0,0
13037,138,293.69,256,143.67,0
13038,80,302.82,291,120.0,0
13040,9,338.5,33,177.5,0
13043,273,516.42,273,254.0,0
13044,291,560.47,291,429.0,0
13045,99,305.28,99,221.0,0
13046,31,314.65,266,132.0,0
13047,32,323.75,374,139.1,1
13048,14,458.98,327,309.5,0
13049,64,328.34,318,134.0,0
13050,15,343.34,367,220.47,1
13052,212,348.15,212,222.0,0
13055,78,404.8,214,298.0,0
13058,25,90.47,152,17.33,0
13059,250,183.4,250,35.0,0
13060,254,307.53,254,123.0,0
13061,72,248.61,72,107.0,0
13062,191,346.98,191,343.0,0
13064,13,279.87,327,129.0,0
13065,373,205.86,373,74.0,0
13066,24,235.4,32,161.0,0
13067,82,115.46,82,32.0,0
13068,10,172.0,320,100.0,0
13069,1,184.84,370,245.21,1
13070,192,228.8,192,110.0,0
13072,267,177.15,267,69.0,0
13075,130,919.61,130,485.0,0
13077,1,182.32,366,215.75,0
13078,3,485.69,367,216.54,1
13079,4,44.02,140,12.4,1
13080,179,58.08,179,120.0,0
13081,12,2576.13,371,1733.45,1
13082,126,401.51,338,480.44,1
13083,4,151.88,76,93.5,0
13085,158,208.04,295,108.0,0
13089,3,606.45,370,320.31,1
13090,9,636.49,373,161.64,1
13091,28,345.82,28,466.0,0
13092,71,95.57,360,55.8,1
13093,276,979.06,373,495.12,1
13094,21,160.61,369,143.0,1
13095,71,74.4,71,144.0,0
13097,33,601.04,360,236.3,1
13098,1,1031.52,317,570.29,1
13099,99,207.36,99,288.0,0
13101,234,101.19,234,113.0,0
13102,1,267.67,365,175.17,1
13103,40,243.94,40,82.0,0
13104,3,183.08,355,84.0,1
13106,133,76.5,133,18.0,0
13107,44,382.9,334,323.25,0
13108,373,350.06,373,298.0,0
13109,60,393.27,157,260.0,0
13110,31,212.67,311,55.43,1
13113,1,510.25,366,126.88,1
13115,12,573.7,184,391.75,0
13116,138,501.14,138,291.0,0
13117,22,123.11,372,118.12,1
13118,20,239.56,289,82.0,1
13120,239,30.6,239,12.0,0
13121,269,283.73,269,252.0,0
13122,94,461.2,240,292.5,0
13124,90,1288.78,359,715.67,0
13126,5,262.46,367,267.88,1
13127,78,259.17,78,127.0,0
13130,94,64.0,94,32.0,0
13131,23,357.77,188,149.0,0
13132,262,77.3,262,20.0,0
13133,274,54.9,304,16.0,0
13134,86,448.4,240,264.75,0
13135,197,3096.0,197,4300.0,0
13136,56,521.52,213,265.6,1
13137,11,456.3,309,278.25,1
13138,22,160.4,372,78.83,1
13139,16,723.56,260,346.43,1
13140,108,141.24,366,62.0,0
13141,85,477.75,315,309.6,1
13142,19,307.09,19,258.0,0
13144,333,110.95,333,21.0,0
13145,40,154.63,372,36.25,0
13146,26,228.91,26,154.0,0
13147,10,178.2,100,36.0,0
13148,29,308.93,364,164.58,1
13149,14,419.02,289,320.0,0
13151,296,1257.87,296,363.0,0
13153,6,486.22,6,418.0,0
13155,33,242.94,369,124.25,0
13157,49,435.3,298,359.75,0
13158,95,300.26,319,196.0,0
13159,9,359.46,116,264.75,0
13160,22,91.8,22,56.0,0
13161,313,112.75,313,29.0,0
13162,122,422.07,335,428.25,0
13165,46,510.74,351,688.0,0
13166,283,417.2,283,216.0,0
13167,19,197.83,144,196.25,0
13168,36,329.8,318,170.5,0
13169,64,356.44,252,136.0,0
13170,27,116.01,27,147.0,0
13171,22,156.14,299,76.33,0
13173,4,176.82,367,138.5,0
13174,16,939.01,369,465.0,0
13176,46,492.84,46,453.0,0
13177,65,282.45,65,91.0,0
13178,26,520.5,361,324.55,1
13182,45,121.18,45,201.0,0
13183,8,439.75,335,245.33,1
13184,15,170.13,290,169.2,1
13185,268,71.4,268,12.0,0
13186,40,525.3,129,273.33,0
13187,337,236.02,337,95.0,0
13188,11,114.6,11,25.0,0
13189,19,130.34,115,421.0,0
13192,95,455.97,205,297.5,0
13193,61,117.88,61,50.0,0
13194,136,60.7,136,26.0,0
13196,11,449.44,262,306.0,0
13198,10,566.87,362,441.33,1
13199,4,258.35,367,162.53,1
13200,19,217.52,126,129.0,0
13203,10,217.36,242,200.0,0
13207,15,125.13,151,65.0,0
13208,59,203.98,309,134.0,1
13209,30,736.45,362,531.62,1
13210,94,353.48,94,316.0,0
13211,10,399.14,361,291.33,0
13212,20,262.69,61,103.33,0
13213,57,304.12,200,272.0,1
13216,268,333.74,268,297.0,0
13217,122,177.99,157,87.33,0
13218,127,62.64,127,88.0,0
13220,78,204.82,237,49.0,0
13221,240,423.7,359,122.0,0
13223,200,81.6,232,44.0,0
13224,60,1077.97,151,759.0,0
13225,3,923.41,362,488.0,1
13226,273,108.21,273,80.0,0
13227,202,257.7,202,99.0,0
13228,81,358.0,81,200.0,0
13229,226,160.95,226,63.0,0
13230,4,200.5,365,118.93,1
13232,13,193.94,243,111.14,1
13233,74,302.56,336,502.0,0
13235,212,1031.07,212,441.0,0
13236,25,372.42,107,208.0,0
13238,17,175.18,360,74.5,0
13239,262,329.56,262,327.0,0
13240,96,165.91,366,74.5,0
13242,112,90.13,214,43.33,0
13243,203,600.07,203,233.0,0
13244,93,121.74,93,38.0,0
13245,51,430.5,51,125.0,0
13246,18,331.22,330,267.0,1
13247,18,125.28,83,82.0,0
13248,125,232.84,189,152.5,0
13249,92,237.14,261,182.0,0
13253,157,515.2,339,786.0,0
13255,9,199.76,374,88.5,0
13258,12,232.86,205,95.67,0
13259,62,292.32,62,132.0,0
13260,61,557.62,61,142.0,0
13261,269,472.05,286,105.0,0
13262,263,200.29,263,125.0,0
13263,1,212.97,325,136.57,1
13265,53,421.53,274,350.4,1
13266,11,319.52,257,369.0,1
13267,3,237.97,367,103.63,1
13268,18,292.24,267,332.55,1
13269,1,356.42,370,234.27,1
13270,366,590.0,366,200.0,0
13271,37,217.38,37,253.0,0
13272,31,138.28,90,48.0,0
13273,113,138.98,113,153.0,0
13276,64,295.47,100,80.5,0
13277,16,64.6,134,44.0,0
13278,41,542.73,41,537.0,0
13279,78,137.75,78,73.0,0
13280,122,271.62,337,174.0,0
13282,18,377.38,221,102.33,0
13283,60,46.83,186,45.0,0
13284,331,201.19,331,91.0,0
13285,23,677.28,290,512.75,0
13291,156,361.11,156,233.0,0
13292,39,289.47,284,173.5,0
13294,190,436.87,250,226.5,0
13295,360,201.2,360,82.0,0
13296,137,87.4,137,78.0,0
13297,8,522.46,67,240.75,0
13298,1,360.0,1,96.0,0
13299,268,142.5,268,30.0,0
13300,169,371.89,169,203.0,0
13301,104,154.52,292,86.25,0
13302,155,63.75,155,5.0,0
13304,351,300.42,351,238.0,0
13305,4,200.09,373,123.2,1
13307,120,15.0,120,4.0,0
13308,23,461.84,203,281.0,0
13309,7,291.36,309,308.8,1
13310,28,377.34,324,195.67,0
13311,4,299.29,150,152.5,0
13313,22,311.06,340,170.2,1
13314,2,258.65,74,186.67,0
13316,37,1494.43,254,1737.0,0
13317,66,378.95,359,172.5,1
13318,1,213.59,37,101.33,0
13319,5,417.14,366,181.69,1
13320,78,387.18,214,274.0,0
13321,72,283.68,86,186.0,0
13322,17,199.48,17,117.0,0
13323,3,157.57,84,35.0,1
13324,36,712.2,361,520.5,1
13325,82,675.3,82,240.0,0
13327,39,453.47,365,200.0,1
13328,316,1308.48,316,680.0,0
13329,32,394.5,367,231.5,0
13330,93,380.31,316,250.33,0
13332,14,350.9,14,179.0,0
13334,82,1178.94,306,591.33,0
13336,77,795.12,77,559.0,0
13338,158,487.02,158,256.0,0
13339,201,860.12,201,326.0,0
13340,45,1533.78,277,824.29,1
13341,261,775.85,261,301.0,0
13343,178,353.43,178,135.0,0
13344,68,847.91,278,323.67,0
13345,288,389.5,288,141.0,0
13347,70,341.36,70,205.0,0
13348,64,233.76,64,136.0,0
13349,11,247.32,11,225.0,0
13350,16,489.56,79,143.5,0
13351,66,373.94,66,117.0,0
13352,60,397.98,60,321.0,0
13354,71,743.53,71,604.0,0
13355,122,674.7,122,314.0,0
13356,80,768.24,80,325.0,0
13357,257,609.95,257,322.0,0
13358,269,439.03,269,285.0,0
13359,64,439.56,64,161.0,0
13362,9,772.68,288,345.5,0
13363,18,496.25,44,355.0,0
13364,71,134.96,71,71.0,0
13365,34,1112.68,218,623.5,0
13366,50,56.16,50,144.0,0
13368,257,311.7,338,163.5,0
13369,366,308.28,366,149.0,0
13370,372,754.87,372,343.0,0
13372,90,378.64,90,159.0,0
13373,61,1104.08,276,550.33,0
13375,89,778.65,89,442.0,0
13376,99,339.92,234,164.33,0
13379,26,190.85,137,200.33,0
13381,32,606.55,299,338.17,1
13382,281,222.99,281,131.0,0
13384,31,593.13,179,346.0,1
13385,330,534.57,330,281.0,0
13388,131,338.55,131,141.0,0
13389,11,265.99,233,143.0,0
13390,75,544.08,75,224.0,0
13391,204,59.8,204,4.0,0
13394,2,315.0,310,299.0,1
13395,185,307.72,185,336.0,0
13396,29,680.5,319,300.0,0
13397,73,308.83,339,86.0,1
13398,192,457.34,192,281.0,0
13402,127,310.62,372,239.5,0
13403,18,75.0,18,44.0,0
13404,1,126.24,213,55.5,0
13405,74,190.82,318,55.0,0
13408,2,453.5,374,261.81,1
13410,24,200.61,291,103.6,1
13411,107,213.55,107,72.0,0
13414,134,463.5,297,524.67,0
13416,44,356.25,81,71.0,0
13417,5,320.42,205,81.0,0
13418,12,340.41,373,217.67,1
13419,64,221.06,64,275.0,0
13420,150,79.92,171,50.5,0
13421,40,925.54,290,590.5,0
13422,64,2626.3,64,1326.0,0
13425,108,541.4,295,374.33,0
13426,1,364.13,360,224.5,1
13427,19,194.2,215,181.67,0
13428,10,218.47,10,156.0,0
13429,11,251.7,75,347.5,0
13430,19,339.72,86,375.5,0
